symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,score_v0,rank_v0,trials,n_trials,rate_syn,rate_mis,oe_syn,qc_syn_excess,tolerance,burden_v1,score_v1,rank_v1
MS4A1,ENSG00000156738,0.9160011480558762,0.6030989502275332,0.0008456297112152,0.067983009932596,16.0,26.52964325997189,350,352.99486265945313,128,117.642507333244,1320.0,2.0,0.0,0.0,0.0,0.0,156,OFATUMUMAB (NCT01077518); OFATUMUMAB (NCT01200589); RITUXIMAB (NCT01200589); RITUXIMAB (NCT01232556); RITUXIMAB (NCT02626455),5,0.0,0.0,1.088042093810671,False,0.4580005740279381,0.0,0.0,143
MYL2,ENSG00000111245,1.2134374035470443,0.8269705689812006,3.0179974526728193e-06,1.01953323114962,19.0,22.975424655568276,180,215.05662723793105,78,76.16856614446647,1559.0,13.0,0.0,0.0,0.0,0.0,147,MAVACAMTEN (NCT05582395),1,0.0,0.0,1.0240444838105514,False,0.6067187017735222,0.0,0.0,144
MYL3,ENSG00000160808,0.8532368077663065,0.5154797495195456,0.0286205241154471,1.267387330049352,11.0,21.339344581921175,206,253.29497231127175,88,91.57048088197692,1082.0,3.0,0.0,0.0,0.0,0.0,146,MAVACAMTEN (NCT05582395),1,0.0,0.0,0.9610083855890325,False,0.42661840388315325,0.0,0.0,145
MYL4,ENSG00000198336,1.1236252617218214,0.7397995267056484,6.719402848046035e-05,0.1050210927428429,16.0,21.627480719335583,249,252.9161302369627,82,95.68424928780618,1199.0,1.0,0.0,0.0,0.0,0.0,145,MAVACAMTEN (NCT05582395),1,0.0,0.0,0.8569853514067327,False,0.5618126308609107,0.0,0.0,146
NCBP2,ENSG00000114503,0.6715056840500596,0.3721632030145467,0.5620656137323271,2.3694677251333873,8.0,21.49594569049134,127,206.91746548175675,92,75.82805131084172,1205.0,2.0,0.0,0.0,0.0,0.0,158,OBEFAZIMOD (NCT04393038),1,0.0,0.0,1.2132713212273472,False,0.3357528420250298,0.0,0.0,147
NFKB1,ENSG00000109320,0.1494858445402531,0.0856640599341107,1.0,4.593796706788653,9.0,105.0615626544251,830,1203.700136571958,440,442.1851203644926,4821.0,15.0,0.0,0.0,0.0,0.0,159,EDASALONEXENT (NCT03917719),1,0.0,0.0,0.9950583584479473,False,0.07474292227012655,0.0,0.0,148
NFKB2,ENSG00000077150,0.2766331982519064,0.1921035716095686,0.9999999999993928,4.69916177442768,21.0,109.31603105579111,806,1185.345777690304,478,489.9166802242987,5090.0,15.0,0.0,0.0,0.0,0.0,160,EDASALONEXENT (NCT03917719),1,0.0,0.0,0.9756761083969566,False,0.1383165991259532,0.0,0.0,149
NR1H4,ENSG00000012504,0.5568290127170148,0.3930310324078381,0.5814416762898184,1.5969106297174462,23.0,58.51955215621115,487,576.936717114752,214,197.95997732304735,2703.0,7.0,0.0,0.0,0.0,0.0,175,URSODIOL (NCT00059202),1,0.0,0.0,1.0810265938290002,False,0.2784145063585074,0.0,0.0,150
OPRK1,ENSG00000082556,0.9416741419950722,0.6115527027216622,0.0010538205661951,0.5362941181271043,15.0,24.527730698014743,479,507.3228917868716,205,198.010900222641,1740.0,10.0,0.0,0.0,0.0,0.0,173,ATICAPRANT (NCT06514742); BUPRENORPHINE (NCT00270257); DIFELIKEFALIN (NCT05387707); DIFELIKEFALIN (NCT05978063); NAVACAPRANT (NCT06029439),5,0.0,0.0,1.03529654059196,False,0.4708370709975361,0.0,0.0,151
P2RY12,ENSG00000169313,1.7352764860835943,0.6714031553366677,0.0917572858775325,1.0941853576155307,3.0,4.468254246579588,356,407.8098180321015,148,154.05409386013886,747.0,2.0,0.0,0.0,0.0,0.0,170,PRASUGREL (NCT01794000),1,0.0,0.0,0.9607015061499424,False,0.8676382430417972,0.0,0.0,152
PDE9A,ENSG00000160191,0.8512221223653207,0.6865651375179196,4.829147829957822e-14,1.7417762740339204,60.0,87.39156231688793,665,778.9854372196091,272,279.4542826335455,5816.0,20.0,0.0,0.0,0.0,0.0,166,TOVINONTRINE (NCT04411082); TOVINONTRINE (NCT04474314),2,0.0,0.0,0.9733255738173086,False,0.42561106118266034,0.0,0.0,153
PGF,ENSG00000119630,0.7200181481956173,0.4349962065666765,0.1767409938799683,0.1365887887933546,11.0,25.2875768430728,230,234.90859084832417,105,97.92163772044267,2217.0,2.0,0.0,0.0,0.0,0.0,163,AFLIBERCEPT (NCT02980874); AFLIBERCEPT (NCT04049266); AFLIBERCEPT (NCT04603937); AFLIBERCEPT (NCT04611152),4,0.0,0.0,1.072285987493034,False,0.36000907409780863,0.0,0.0,154
PPARD,ENSG00000112033,0.2995910565663266,0.1517890798582283,0.9999917840449516,3.487478709584986,6.0,39.52853529123456,397,596.7573582651756,210,231.27113507335903,1915.0,4.0,0.0,0.0,0.0,0.0,139,ELAFIBRANOR (NCT02704403),1,0.0,0.0,0.9080251192324029,False,0.1497955282831633,0.0,0.0,155
PTGIR,ENSG00000160013,1.379639524504932,0.908360377808808,7.277686935989259e-06,0.3031730753371236,16.0,17.61415445992481,532,548.6506389375838,274,255.4085556967816,2409.0,4.0,0.0,0.0,0.0,0.0,118,ESUBERAPROST (NCT03657095); SELEXIPAG (NCT03689244),2,0.0,0.0,1.072791000491346,False,0.689819762252466,0.0,0.0,156
PTGS2,ENSG00000073756,0.3431556491028322,0.2195043602049604,0.9999991649555448,3.225229993133244,14.0,63.78005424096182,533,738.5090382733785,271,259.4865384578937,2282.0,6.0,0.0,0.0,0.0,0.0,116,INDOMETHACIN (NCT01774604); LORNOXICAM (NCT02626455); MESALAMINE (NCT01038739); NAPROXEN (NCT00418782),4,0.0,0.0,1.0443701689133078,False,0.1715778245514161,0.0,0.0,157
RARA,ENSG00000131759,0.2455884389709645,0.1168018755301378,0.9999995309492162,3.856048898387971,5.0,42.80753179095889,402,628.7032300234582,256,259.4996042653947,3547.0,5.0,0.0,0.0,0.0,0.0,113,TAMIBAROTENE (NCT01337154),1,0.0,0.0,0.9865140285076675,False,0.12279421948548225,0.0,0.0,158
RARB,ENSG00000077092,0.4909355010879019,0.3273002161781266,0.9879542119311612,3.3031141279411353,17.0,51.940081795571096,369,550.7593938778797,215,195.40054678538823,2491.0,11.0,0.0,0.0,0.0,0.0,112,TAMIBAROTENE (NCT01337154),1,0.0,0.0,1.100303983469085,False,0.24546775054395095,0.0,0.0,159
RELA,ENSG00000173039,0.3858822293992429,0.2468350210762872,0.999971677791792,2.788515884168542,14.0,56.718045676643015,559,736.431921098972,315,289.6907609388587,3132.0,1.0,0.0,0.0,0.0,0.0,111,EDASALONEXENT (NCT03917719),1,0.0,0.0,1.0873664005683736,False,0.19294111469962144,0.0,0.0,160
SERPINC1,ENSG00000117601,0.4484177138205567,0.2767644787341592,0.9980904939661652,2.7614943899952142,12.0,43.35816523451468,423,578.7723544277145,210,218.94791135056025,1634.0,4.0,0.0,0.0,0.0,0.0,120,ENOXAPARIN SODIUM (NCT00740545),1,0.0,0.0,0.9591322369993581,False,0.22420885691027834,0.0,0.0,161
SLC18A2,ENSG00000165646,0.7452213356933165,0.5573316319348155,9.20199420007727e-06,1.6426823731770064,33.0,59.21070707118884,569,668.592510537169,228,253.4786656572042,3476.0,15.0,0.0,0.0,0.0,0.0,104,DEUTETRABENAZINE (NCT03567291); LISDEXAMFETAMINE DIMESYLATE (NCT01436175),2,0.0,0.0,0.8994839838250503,False,0.37261066784665825,0.0,0.0,162
SLC6A3,ENSG00000142319,0.3957801307142773,0.2697283921951814,0.9999861224617904,3.321630888253529,19.0,70.44123106718102,613,838.5292095481246,368,356.6213696213036,3653.0,16.0,0.0,0.0,0.0,0.0,123,BICIFADINE (NCT00597649); LISDEXAMFETAMINE DIMESYLATE (NCT01436175),2,0.0,0.0,1.0319067541880045,False,0.19789006535713866,0.0,0.0,163
SMAD7,ENSG00000101665,0.3732181758375816,0.2068457126158981,0.9998537827006732,1.7904988592721842,8.0,38.67617026636462,477,577.9258557851198,327,265.1309703154819,2154.0,6.0,0.0,0.0,0.0,0.0,137,MONGERSEN SODIUM (NCT02641392),1,0.0,0.0,1.2333527071956156,False,0.1866090879187908,0.0,0.0,164
SNAP25,ENSG00000132639,0.2698318889349513,0.1044017959640883,0.9999547862274756,4.131200040162375,3.0,28.735137861344136,117,278.71417149569857,61,88.11047823350025,1483.0,5.0,0.0,0.0,0.0,0.0,136,BOTULINUM TOXIN TYPE A (NCT05028569),1,0.0,0.0,0.69231266499706,False,0.13491594446747565,0.0,0.0,165
TLR9,ENSG00000239732,1.1344607031535046,0.7731471029583229,7.218585780794932e-06,3.612098811605699,19.0,24.574883521259487,1065,1379.575330617235,579,609.802779909339,2705.0,3.0,0.0,0.0,0.0,0.0,134,COBITOLIMOD (NCT04985968); HYDROXYCHLOROQUINE SULFATE (NCT04329923),2,0.0,0.0,0.9494873081524512,False,0.5672303515767523,0.0,0.0,166
TNF,ENSG00000232810,0.6031986625713975,0.3211404085366778,0.83611460936656,1.9967782472209783,7.0,21.797319222132465,216,296.6370998282874,123,130.22710699247816,936.0,2.0,0.0,0.0,0.0,0.0,133,GOLIMUMAB (NCT01230827),1,0.0,0.0,0.9445038198314919,False,0.30159933128569877,0.0,0.0,167
TNFSF13B,ENSG00000102524,0.4954467255757074,0.2745874602300145,0.9831804738637392,2.0250733745091916,8.0,29.13461522714335,248,334.8933072881587,125,130.76996583247023,1393.0,2.0,0.0,0.0,0.0,0.0,132,TABALUMAB (NCT01202773); TABALUMAB (NCT01215942),2,0.0,0.0,0.9558769798880107,False,0.2477233627878537,0.0,0.0,168
TNNC2,ENSG00000101470,1.09163828355608,0.6982818544112404,0.0003637373487136,1.732596872989494,14.0,20.049210661222418,163,223.7702510347894,81,77.34513588735695,1504.0,9.0,0.0,0.0,0.0,0.0,130,RELDESEMTIV (NCT04944784),1,0.0,0.0,1.0472539620069437,False,0.54581914177804,0.0,0.0,169
TNNI2,ENSG00000130598,0.826234470399086,0.5285125548082923,0.0096914493644511,1.1779344585298557,14.0,26.489436954015652,205,248.54254690240512,126,97.62829301953111,1568.0,3.0,0.0,0.0,0.0,0.0,129,RELDESEMTIV (NCT04944784),1,0.0,0.0,1.2906094750093906,False,0.413117235199543,0.0,0.0,170
UGCG,ENSG00000148154,0.3425435967528576,0.2019450356068218,0.999992395848905,3.3291438268639637,10.0,49.51842450571334,312,483.67242975059247,182,158.2323048662347,2292.0,10.0,0.0,0.0,0.0,0.0,124,VENGLUSTAT (NCT02906020); VENGLUSTAT (NCT03523728),2,0.0,0.0,1.1502076023847208,False,0.1712717983764288,0.0,0.0,171
VEGFA,ENSG00000112715,0.5846185283347473,0.4023247879265474,0.4046458209077189,0.879071826863735,20.0,49.71108069943582,505,553.4922649380051,219,223.41722582086328,2796.0,8.0,0.0,0.0,0.0,0.0,176,AFLIBERCEPT (NCT02980874); AFLIBERCEPT (NCT04049266); AFLIBERCEPT (NCT04603937); AFLIBERCEPT (NCT04611152); BEVACIZUMAB (NCT00946712); BEVACIZUMAB (NCT01012297),6,0.0,0.0,0.9802288037342071,False,0.29230926416737363,0.0,0.0,172
MUC5AC,ENSG00000215182,1.0622766088513609,0.9309244543799968,4.474212675253393e-50,-9.737246489753892,158.0,169.7237614251194,4359,3089.8882138259237,1975,1236.9946090566175,30794.0,212.0,87.0,2.0,10.7847,0.484,1,CLIVATUZUMAB TETRAXETAN (NCT01956812),1,0.07033175356063172,0.028156358411515453,1.5966116469223868,True,0.5311383044256804,1.0,0.5311,173
DRD4,ENSG00000069696,1.6299264875973367,1.1746694306580123,1.0280908139937256e-10,-4.75889174564733,26.0,22.133886624967868,913,632.396605574334,455,306.7300884356564,4298.0,18.0,8.0,1.0,0.6443,0.364,3,HALOPERIDOL (NCT03628391),1,0.02608156259074721,0.012650289279675226,1.4833888723487476,True,0.8149632437986684,0.3708362335692764,0.3022,174
HSP90AA1,ENSG00000080824,0.3640579363422011,0.2455079890800665,0.9999990313048108,2.454949269390544,18.0,73.31736970127571,704,874.1916195235511,477,296.8924034126991,4404.0,17.0,1.0,0.0,0.1203,0.026,94,GANETESPIB (NCT01798485),1,0.0033682236005544985,0.0011439139631022961,1.6066426574644959,True,0.18202896817110056,0.04789051075842741,0.0087,175
TSLP,ENSG00000145777,1.5664521476402535,0.9668179885443776,7.048325843013238e-05,-1.003409812692918,12.0,12.411850153995342,222,189.6037917165383,97,69.5208377369234,1175.0,4.0,0.0,0.0,0.0,0.0,125,TEZEPELUMAB (NCT03809663),1,0.0,0.0,1.3952651198919899,True,0.7832260738201268,0.0,0.0,176
ADRB1,ENSG00000043591,,,,1.1863836833011454,,,635,709.0735461435992,365,347.2505449068685,,,,,,,177,METOPROLOL SUCCINATE (NCT02587351),1,,,1.051114261312079,False,,,,177
CCR2,ENSG00000121807,,,,0.6514814236886147,,,408,440.04367037260266,183,177.07204313698995,,,,,,,178,CENICRIVIROC (NCT03028740),1,,,1.0334776555236558,False,,,,178
CCR5,ENSG00000160791,,,,-0.8766462115894839,,,464,421.78542011068646,194,168.10995870753536,,,,,,,179,CENICRIVIROC (NCT03028740),1,,,1.154006588851206,False,,,,179
CXCR1,ENSG00000163464,,,,0.4373930533948875,,,419,440.5253216322824,180,184.68656353602427,,,,,,,180,REPARIXIN (NCT05254990),1,,,0.9746242312039656,False,,,,180
GRIN3B,ENSG00000116032,1.4110217162090772,1.1673505486104854,2.1402671275409176e-30,-2.39899338126845,77.0,65.96133448658952,1787,1564.5099736792658,823,749.7281462469969,,,,,,,181,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,,,1.0977312298061488,False,0.7055108581045386,,,181
S1PR5,ENSG00000180739,,,,-0.2012535151936779,,,583,571.7169544844,307,284.7352602067742,,,,,,,182,ETRASIMOD (NCT04173273); FINGOLIMOD HYDROCHLORIDE (NCT00731692),2,,,1.0781945298136142,False,,,,182
